00341	PCS R3 Rise	pcs_r3_rise	RF PCS
00342	PCS R3 Fall	pcs_r3_fall	RF PCS
00343	Calibrate PA Range Gain Step	pcs_pa_range_step_cal	RF PCS
00344	PDM1 vs Frequency Compensation Table	pcs_pdm1_vs_freq	RF PCS
00345	PDM2 vs Frequency Compensation Table	pcs_pdm2_vs_freq	RF PCS
00346	PCS LNA Range Polarity	pcs_lna_range_pol	RF PCS
00347	PCS LNA Range Rise	pcs_lna_range_rise	RF PCS
00348	PCS LNA Range Fall	pcs_lna_range_fall	RF PCS
00349	PCS LNA Range Offset	pcs_lna_range_offset	RF PCS
00350	PCS RX Linearizer vs Temperature	pcs_rx_lin_vs_temp	RF PCS
00351	PCS Adjustment Factor	pcs_adj_factor	RF PCS
00352	PCS PA Range vs Temperature	pcs_pa_range_vs_temp	RF PCS
00353	TX Temperature Compensation Using PDM1	pcs_pdm1_vs_temp	RF PCS
00354	TX Temperature Compensation Using PDM2	pcs_pdm2_vs_temp	RF PCS
00355	PCS RX Slope vs Temperature	pcs_rx_slp_vs_temp	RF PCS
00356	PCS TX Slope vs Temperature	pcs_tx_slp_vs_temp	RF PCS
00357	PCS Receiver AGC Min/Max	pcs_rx_agc_minmax	RF PCS
00367	CDMA TX Linearizer MASTER 0	cdma_tx_lin_master0	RF CDMA
00368	CDMA TX Linearizer MASTER 1	cdma_tx_lin_master1	RF CDMA
00369	CDMA TX Linearizer MASTER 2	cdma_tx_lin_master2	RF CDMA
00370	CDMA TX Linearizer MASTER 3	cdma_tx_lin_master3	RF CDMA
00372	Broadcast SMS Service Table Size	sms_bc_service_table_size	Display
00373	Broadcast SMS Service Table	sms_bc_service_table	Display
00374	Broadcast SMS Configuration	sms_bc_config	Display
00375	Broadcast SMS User Preferences	sms_bc_user_pref	Display
00376	LNA Range 2 Rise	lna_range_2_rise	RF CDMA
00377	LNA Range 2 Fall	lna_range_2_fall	RF CDMA
00378	LNA Range 1 2 Offset	lna_range_12_offset	RF CDMA
00379	Non Bypass Timer	nonbypass_timer	RF CDMA
00380	Bypass Timer	bypass_timer	RF CDMA
00381	LNA1 InterMod Antijamming Threshold Power Level	im_level1	RF CDMA
00382	LNA2 InterMod Antijamming Threshold Power Level	im_level2	RF CDMA
00383	CDMA LNA Offset vs Frequency	cdma_lna_offset_vs_freq	RF CDMA
00384	CDMA LNA 1 2 Offset vs Frequency	cdma_lna_12_offset_vs_freq	RF CDMA
00385	AGC Phase Offset	agc_phase_offset	RF CDMA
00386	RX AGC MIN 11	rx_agc_min_11	RF CDMA
00387	PCS LNA Range 2 Rise	pcs_lna_range_2_rise	RF PCS
00388	LNA Range 2 Fall	pcs_lna_range_2_fall	RF PCS
00389	PCS LNA Range 1 2 Offset	pcs_lna_range_12_offset	RF PCS
00390	PCS Non Bypass Timer	pcs_nonbypass_timer	RF PCS
00391	PCS Bypass Timer	pcs_bypass_timer	RF PCS
00392	LNA1 InterMod Anti Jamming Threshold Power Level	pcs_im_level1	RF PCS
00393	LNA2 InterMod Anti Jamming Threshold Power Level	pcs_im_level2	RF PCS
00394	PCS CDMA LNA Offset vs Frequency	pcs_cdma_lna_offset_vs_freq	RF PCS
00395	PCS CDMA LNA 12 Offset vs Frequency	pcs_cdma_lna_12_offset_vs_freq	RF PCS
00396	PCS AGC Phase Offset	pcs_agc_phase_offset	RF PCS
00397	RX AGC MIN 11	pcs_rx_agc_min_11	RF PCS
00398	R UIM Card Holder Verification 1	ruim_chv_1	Security
00399	R UIM Card Holder Verification 2	ruim_chv_2	Security
00400	GPSOne Capabilities	gps1_capabilitie	GPS
00401	GPSOne PDE TCP Address	gps1_pde_addre	GPS
00402	GPSOne Position Determination Services Lockout	gps1_allowed	GPS
00403	GPSOne Preferred Transport Mechanism	gps1_pde_transport	GPS
00404	GPSOne Mobile vs PDE based Position Calculations	gps1_mobile_calc	GPS
00405	IS2000 CAI Radio Configuration RC Preference	pref_for_rc	CDMA
00406	DATA SERVICES Default SIO Baud Rate	ds_default_baud	Data
00407	DIAG Default SIO Baud Rate	diag_default_baud	Debug
00408	Serial Device Mapper Configuration Menu Item Information	sio_dev_map_menu_item	Debug
00409	TTY Enabled/Disabled	tty	Display
00410	PA Range Offset	pa_range_offset	Factory
00411	Tx Linearizer Compensation 0	tx_comp0	RF CDMA
00412	Stereo DAC Multimedia Volume Level	mm_sdac_lvl	Display
00413	Stereo DAC Key Beep Volume Level	beep_sdac_lvl	Display
00414	Stereo DAC Volume Level	sdac_lvl	Display
00415	Handset Multimedia Volume Level	mm_lvl	Display
00416	Headset Multimedia Volume Level	mm_lvl_shadow	Display
00417	HFK Multimedia Volume Level	mm_speaker_lvl	Display
00418	Multimedia Play Mode	mm_play_mode	Display
00419	Multimedia Repeat Mode	mm_repeat_mode	Display
00420	Tx Linearizer Compensation 1	tx_comp1	RF CDMA
00421	Tx Linearizer Compensation 2	tx_comp2	RF CDMA
00422	Tx Linearizer Compensation 3	tx_comp3	RF CDMA
00423	Primary DNS Server	primary_dn	Data
00424	Secondary DNS Server	secondary_dn	Data
00425	DIAG Boot Port Selection	diag_port_select	Debug
00426	GPSOne PDE Port	gps1_pde_port	GPS
00427	Multimedia Ringer Filename	mm_ringer_file	Sounds
00428	Multimedia File Location	mm_storage_device	Sounds
00429	Data SCRM Enabled	data_scrm_enabled	Data
00430	R UIM SMS Status	ruim_sms_statu	System
00431	PCS Tx Linearizer Master 0	pcs_tx_lin_master0	RF PCS
00432	PCS Tx Linearizer Master 1	pcs_tx_lin_master1	RF PCS
00433	PCS Tx Linearizer Master 2	pcs_tx_lin_master2	RF PCS
00434	PCS Tx Linearizer Master 3	pcs_tx_lin_master3	RF PCS
00435	PCS PA Range Offset	pcs_pa_range_offset	RF PCS
00436	PCS Transmit Frequency Compensation Table 0	pcs_tx_comp0	RF PCS
00437	PCS Transmit Frequency Compensation Table 1	pcs_tx_comp1	RF PCS
00438	PCS Transmit Frequency Compensation Table 2	pcs_tx_comp2	RF PCS
00439	PCS Transmit Frequency Compensation Table 3	pcs_tx_comp3	RF PCS
00440	DIAG Restart Configuration	diag_restart_config	Debug
00441	Band Class Preference	band_pref	CDMA
00442	Roaming Preference	roam_pref	CDMA
00443	GPSOne RF Delay	gps1_gps_rf_delay	GPS
00444	GPSOne CDMA RF Delay	gps1_cdma_rf_delay	GPS
00445	PCS BTF	pcs_enc_btf	RF PCS
00446	CDMA BTF	cdma_enc_btf	RF CDMA
00447	Bluetooth Device Address	bd_addr	System
